"s","beta.hat","CI.lower.pointwise","CI.upper.pointwise","CI.lower.joint","CI.upper.joint"
81,-0.0229415277547459,-0.412433218956046,0.366550163446555,-0.661725132682986,0.615842077173494
82,0.00955506244916928,-0.366432759243068,0.385542884141406,-0.607081599064502,0.62619172396284
83,0.0273393519472579,-0.339723916947257,0.394402620841772,-0.574660648150303,0.629339352044819
84,0.0392020198196142,-0.333745832868912,0.41214987250814,-0.572448958037825,0.650852997677053
85,0.0461897953619338,-0.337688183327418,0.430067774051286,-0.583387072692529,0.675766663416396
86,0.0437015471527773,-0.341233659613919,0.428636753919473,-0.587609221720966,0.675012316026521
87,0.0345877323302642,-0.339965432956599,0.409140897617128,-0.57969602920849,0.648871493869019
88,0.0247204022553252,-0.339710654983367,0.389151459494017,-0.572962654275983,0.622403458786633
89,0.0124359756379261,-0.352409917947349,0.377281869223202,-0.5859274308544,0.610799382130253
90,-0.00426727515618605,-0.375414135891186,0.366879585578814,-0.612964546532822,0.60442999622045
91,-0.0171529593806254,-0.387818134072424,0.353512215311174,-0.625060244336317,0.590754325575066
92,-0.0182972361603132,-0.379269523797782,0.342675051477156,-0.610307757527466,0.57371328520684
93,-0.0152975086721642,-0.368647437117311,0.338052419772983,-0.59480702374593,0.564212006401602
94,-0.0214453952822334,-0.378139313992329,0.335248523427862,-0.606439202330753,0.563548411766286
95,-0.0346026503376255,-0.398447202562166,0.329241901886915,-0.631323812698373,0.562118512023122
96,-0.0401230660795803,-0.402106084340259,0.321859952181099,-0.633791230384158,0.553545098224998
97,-0.032576781252746,-0.383132796613618,0.317979234108126,-0.607504155263824,0.542350592758332
98,-0.0204025541159697,-0.362396145625604,0.321591037393664,-0.581287174203985,0.540482065972046
99,-0.0092193369929319,-0.353938376286066,0.335499702300202,-0.574573812021416,0.556135138035552
100,0.00556103375651989,-0.345549963211942,0.356672030724982,-0.570276534643743,0.581398602156782
101,0.0270304611404583,-0.321825317133034,0.375886239413951,-0.545108448827757,0.599169371108673
102,0.0497553640149937,-0.288682559696789,0.388193287726776,-0.505297803579559,0.604808531609546
103,0.0686418778536342,-0.264469155895324,0.401752911602592,-0.477674954536914,0.614958710244182
104,0.0854522127855545,-0.254846607912299,0.425751033483408,-0.472652908193412,0.643557333764521
105,0.102221349309966,-0.248330134128111,0.452772832748043,-0.472698592147233,0.677141290767166
106,0.115849587744761,-0.235729756800457,0.467428932289979,-0.460756091401373,0.692455266890895
107,0.123413831303772,-0.22032430026372,0.467151962871265,-0.440331911658683,0.687159574266228
108,0.126668345651364,-0.211493642951519,0.464830334254246,-0.42793227615705,0.681268967459777
109,0.127868986358893,-0.214046594782639,0.469784567500426,-0.432887693274208,0.688625665991995
110,0.12684334849753,-0.221446140200926,0.475132837195986,-0.444366821514616,0.698053518509676
111,0.125216314511635,-0.221181027279657,0.471613656302927,-0.44289065086299,0.69332327988626
112,0.127607757891218,-0.208597116783278,0.463812632565715,-0.423783110490688,0.678998626273124
113,0.134752363372734,-0.194050045656944,0.463554772402413,-0.404498133861921,0.674002860607389
114,0.140303020121633,-0.190926547879256,0.471532588122521,-0.40292812520485,0.683534165448115
115,0.138486537603732,-0.197888320814866,0.47486139602233,-0.413183111638688,0.690156186846152
116,0.13109429712132,-0.202722260930231,0.464910855172871,-0.416379626338321,0.678568220580961
117,0.123397366643645,-0.200775842956381,0.44757057624367,-0.408261038727676,0.655055772014965
118,0.116927174524613,-0.200775227222683,0.434629576271909,-0.40411881969561,0.637973168744836
119,0.110218618039977,-0.209992139383982,0.430429375463936,-0.414941190461211,0.635378426541164
120,0.103485610609925,-0.221268921730715,0.428240142950565,-0.429126189774088,0.636097410993938
121,0.0979760775286921,-0.22339426376266,0.419346418820044,-0.429085499815742,0.625037654873126
122,0.0923429957979057,-0.218635339715376,0.403321331311188,-0.417675232321603,0.602361223917415
123,0.0838677410106101,-0.220789918339477,0.388525400360697,-0.415784298570558,0.583519780591778
124,0.073093843204275,-0.23507070141925,0.3812583878278,-0.432309643372148,0.578497329780698
125,0.0643138245038504,-0.249093014501405,0.377720663509105,-0.44968725678102,0.578314905788721
126,0.0610713741527257,-0.249399595784169,0.371542344089621,-0.448114751975335,0.570257500280786
127,0.0626458080443337,-0.238475306206488,0.363766922295155,-0.431206141115053,0.55649775720372
128,0.0648725978716596,-0.2317725660835,0.36151776182682,-0.421638594783978,0.551383790527297
129,0.0635284963876573,-0.239226843705478,0.366283836480792,-0.433003655452306,0.560060648227621
130,0.057453466533216,-0.253599231225112,0.368506164291544,-0.452686718958001,0.567593652024433
131,0.0491863109386293,-0.261669421943037,0.360042043820295,-0.460630843441011,0.55900346531827
132,0.0421466618944268,-0.261272006219761,0.345565330008615,-0.455473377246114,0.539766701034967
133,0.0370394169519154,-0.262609260899476,0.336688094803307,-0.454397671370892,0.528476505274723
134,0.0320876979071531,-0.272488134519918,0.336663530334224,-0.467430141900195,0.531605537714501
135,0.0268553832014064,-0.283130806664894,0.336841573067707,-0.481535682163903,0.535246448566716
136,0.0237611176010351,-0.282706970002734,0.330229205204804,-0.47886010441066,0.526382339612731
137,0.0244389244837778,-0.271613272069695,0.320491121037251,-0.461099775399841,0.509977624367397
138,0.0261653871443865,-0.263730285032549,0.316061059321322,-0.449276340393189,0.501607114681962
139,0.0241623699850813,-0.269433533368443,0.317758273338605,-0.457347900382661,0.505672640352824
140,0.0173514420423508,-0.281895205053942,0.316598089138644,-0.473426298056,0.508129182140701
141,0.00993893528989966,-0.287408029890029,0.307285900469829,-0.477723242422488,0.497601113002287
142,0.00643647598020017,-0.28345132184515,0.29632427380555,-0.468992337272409,0.481865289232809
143,0.0063701782373333,-0.280531005201367,0.293271361676033,-0.464160455291465,0.476900811766132
144,0.00560233781930747,-0.286161549435485,0.2973662250741,-0.472903345096968,0.484108020735583
145,0.00251982349604438,-0.293855911944048,0.298895558936137,-0.483549494475194,0.488589141467283
146,0.000340256958124646,-0.293111867564219,0.293792381480468,-0.480934209765615,0.481614723681864
147,0.00178939764897559,-0.284936559635958,0.288515354933909,-0.46845385723553,0.472032652533481
148,0.0038385661897325,-0.282047658956772,0.289724791336237,-0.465027490837471,0.472704623216936
149,0.00118092836510439,-0.291642154826757,0.294004011556966,-0.47906188274746,0.481423739477669
150,-0.00581212177116269,-0.304524185435267,0.292899941892941,-0.495713121390416,0.48408887784809
151,-0.0106965604516064,-0.307043581456961,0.285650460553748,-0.496718785479531,0.475325664576318
152,-0.00932056657287259,-0.298673322850042,0.280032189704297,-0.483871888015891,0.465230754870145
153,-0.00475472112472491,-0.291712913989305,0.282203471739855,-0.4753788526341,0.46586941038465
154,-0.00225334076987063,-0.293380209993622,0.288873528453881,-0.479714285933159,0.475207604393417
155,-0.0030130697330607,-0.29683548626907,0.290809346802949,-0.484894831741165,0.478868692275044
156,-0.00535089215747947,-0.293852709282149,0.28315092496719,-0.478506635744312,0.467804851429353
157,-0.00850782712995254,-0.287914906333541,0.270899252073635,-0.466747798169269,0.449732143909364
158,-0.0119525750195705,-0.288753404787009,0.264848254747868,-0.465918181681482,0.442013031642341
159,-0.01379608464542,-0.297095263823129,0.269503094532289,-0.478419271831253,0.450827102540412
160,-0.0135476805150658,-0.303614519534496,0.276519158504365,-0.489270129246862,0.462174768216731
161,-0.0140685689009121,-0.302997118763143,0.274859980961319,-0.487924173056271,0.459787035254447
162,-0.0172296850305493,-0.299662003500069,0.265202633438971,-0.480431182304487,0.445971812243389
163,-0.0201415040032393,-0.299553509490177,0.259270501483698,-0.478389554365191,0.438106546358712
